tweet.id,id,version,batch.tweet,hate.speech,offensive.language,tweet_hashed
1449,1030,C,R49,0,1,"Subtweeting little bitch ""taking the high road"""
1449,1045,C,R49,0,1,"Subtweeting little bitch ""taking the high road"""
1449,1068,C,R49,0,1,"Subtweeting little bitch ""taking the high road"""
572,298,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
572,300,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
572,358,C,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
2039,1033,C,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
2039,1041,C,R39,1,1,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
2039,1821,C,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
1763,1083,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
1763,1099,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
1763,1276,C,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
2429,1422,C,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
2429,1548,C,R29,1,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
2429,1746,C,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
675,58,C,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
675,71,C,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
675,324,C,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
152,91,C,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
152,286,C,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
152,407,C,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
292,18,C,R42,1,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
292,275,C,R42,0,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
292,380,C,R42,0,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
2319,1530,C,R19,0,1,@###### just beat the pussy up
2319,1748,C,R19,0,1,@###### just beat the pussy up
2319,1749,C,R19,0,1,@###### just beat the pussy up
2605,1754,C,R5,0,0,@###### the only thing better than a bargain is a Yankee bargain.
2605,1755,C,R5,0,0,@###### the only thing better than a bargain is a Yankee bargain.
2605,1756,C,R5,1,0,@###### the only thing better than a bargain is a Yankee bargain.
752,60,C,R2,0,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
752,321,C,R2,0,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
752,395,C,R2,0,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
778,60,C,R28,1,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
778,321,C,R28,0,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
778,395,C,R28,1,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
1894,1411,C,R44,0,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
1894,1757,C,R44,0,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
1894,1758,C,R44,0,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
1781,1083,C,R31,1,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
1781,1099,C,R31,1,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
1781,1276,C,R31,1,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
1874,1411,C,R24,0,1,@###### ratchet white trash
1874,1757,C,R24,1,0,@###### ratchet white trash
1874,1758,C,R24,1,1,@###### ratchet white trash
2693,1008,C,R43,0,1,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
2693,1432,C,R43,0,1,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
2693,1878,C,R43,0,0,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
2586,994,C,R36,0,0,"@###### God awful, and that dude is Dorian / eggplant black."
2586,1019,C,R36,0,0,"@###### God awful, and that dude is Dorian / eggplant black."
2586,1066,C,R36,0,0,"@###### God awful, and that dude is Dorian / eggplant black."
557,298,C,R7,0,1,WTF I'mma do about my legs Charlie Murphy...
557,300,C,R7,0,0,WTF I'mma do about my legs Charlie Murphy...
557,358,C,R7,0,1,WTF I'mma do about my legs Charlie Murphy...
2457,1419,C,R7,0,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
2457,1515,C,R7,1,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
2457,1534,C,R7,0,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
1561,1152,C,R11,1,1,The word bitch don't apply to all women but all women got a little bitch in em
1561,1418,C,R11,0,1,The word bitch don't apply to all women but all women got a little bitch in em
1561,1423,C,R11,1,1,The word bitch don't apply to all women but all women got a little bitch in em
1414,1030,C,R14,0,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
1414,1045,C,R14,0,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
1414,1068,C,R14,0,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
637,28,C,R37,0,0,Fitzpatrick is trash bruh
637,31,C,R37,0,1,Fitzpatrick is trash bruh
637,164,C,R37,0,0,Fitzpatrick is trash bruh
2028,1033,C,R28,0,0,Their salsa negro is awesome... @###### @######
2028,1041,C,R28,0,0,Their salsa negro is awesome... @###### @######
2028,1821,C,R28,0,0,Their salsa negro is awesome... @###### @######
1445,1030,C,R45,0,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
1445,1045,C,R45,0,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
1445,1068,C,R45,0,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
410,121,C,R10,0,1,Happy bday @###### I love you my nigguh #livingLegend
410,131,C,R10,0,1,Happy bday @###### I love you my nigguh #livingLegend
410,134,C,R10,0,1,Happy bday @###### I love you my nigguh #livingLegend
168,91,C,R18,0,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
168,286,C,R18,0,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
168,407,C,R18,0,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
2196,1042,C,R46,0,1,this guy is the biggest faggot omfg
2196,1544,C,R46,1,1,this guy is the biggest faggot omfg
2196,1761,C,R46,1,1,this guy is the biggest faggot omfg
2508,1409,C,R8,1,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
2508,1546,C,R8,1,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
2508,1823,C,R8,1,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
2419,1422,C,R19,0,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
2419,1548,C,R19,0,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
2419,1746,C,R19,0,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
