,offensive.language,tweet_hashed
0,1.0,"Subtweeting little bitch ""taking the high road"""
1,1.0,"Subtweeting little bitch ""taking the high road"""
2,1.0,"Subtweeting little bitch ""taking the high road"""
3,0.0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
4,0.0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
5,0.0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
6,0.0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
7,0.0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
8,0.0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
9,1.0,Stu a rape faced faggot man I'm sick of this nigga
10,1.0,Stu a rape faced faggot man I'm sick of this nigga
11,1.0,Stu a rape faced faggot man I'm sick of this nigga
12,1.0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
13,0.0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
14,1.0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
15,1.0,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
16,1.0,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
17,1.0,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
18,0.0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
19,0.0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
20,0.0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
21,1.0,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
22,1.0,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
23,1.0,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
24,1.0,@###### just beat the pussy up
25,1.0,@###### just beat the pussy up
26,0.0,@###### just beat the pussy up
27,0.0,@###### the only thing better than a bargain is a Yankee bargain.
28,0.0,@###### the only thing better than a bargain is a Yankee bargain.
29,0.0,@###### the only thing better than a bargain is a Yankee bargain.
30,1.0,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
31,1.0,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
