order,id,count,hate_speech,offensive_language,neither,class,labels,tweet_hashed
1,2676,3,0,2,1,1,0-2-1,@###### bro that hoe live
2,21640,3,0,2,1,1,0-2-1,"Stop using the word ""redskin(s)""."
3,13826,3,0,3,0,1,0-3-0,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;
4,14854,3,0,3,0,1,0-3-0,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....
5,10888,3,2,1,0,0,2/1/2000,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic
6,6879,3,2,1,0,0,2/1/2000,@###### @###### fight me you fucking obese niglet
7,20949,3,0,2,1,1,0-2-1,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime
8,2163,3,0,2,1,1,0-2-1,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .
9,5040,3,0,1,2,2,0-1-2,@###### @###### trash
10,2482,3,3,0,0,0,3-0-0,@###### I hate that nigger.
11,14090,3,0,0,3,2,0-0-3,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car
12,15067,3,1,2,0,1,1/2/2000,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo"
13,12596,3,0,1,2,2,0-1-2,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;
14,5901,3,1,2,0,1,1/2/2000,@###### dude was a bitch nigga and took off running
15,3359,3,0,3,0,1,0-3-0,@###### brooooo I miss you bitch
16,21750,3,0,0,3,2,0-0-3,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;
17,14545,3,3,0,0,0,3-0-0,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway."
18,3397,3,1,2,0,1,1/2/2000,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush
19,4775,3,3,0,0,0,3-0-0,@###### whats your youtube channel then faggot
20,8100,3,0,0,3,2,0-0-3,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.
21,23786,3,0,2,1,1,0-2-1,"You ever randomly woke up and ya bitch standing over you, just staring."
22,19155,3,0,1,2,2,0-1-2,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######
23,25250,3,0,1,2,2,0-1-2,yea so about @###### 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol
24,11237,3,1,0,2,2,1-0-2,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!
