tweet.id,id,version,batch.tweet,hate.speech,offensive.language,tweet_hashed
1449,1228,B,R49,0,1,"Subtweeting little bitch ""taking the high road"""
1449,1566,B,R49,1,1,"Subtweeting little bitch ""taking the high road"""
1449,1599,B,R49,0,1,"Subtweeting little bitch ""taking the high road"""
572,75,B,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
572,120,B,R22,0,1,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
572,322,B,R22,0,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
2039,1196,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
2039,1243,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
2039,1567,B,R39,0,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
1763,1183,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
1763,1587,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
1763,1822,B,R13,1,1,Stu a rape faced faggot man I'm sick of this nigga
2429,979,B,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
2429,1020,B,R29,0,0,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
2429,1039,B,R29,0,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
675,5,B,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
675,24,B,R25,0,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
675,118,B,R25,1,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
152,10,B,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
152,27,B,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
152,195,B,R2,0,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
292,17,B,R42,0,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
292,360,B,R42,1,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
292,369,B,R42,0,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
2319,1269,B,R19,0,1,@###### just beat the pussy up
2319,1570,B,R19,0,1,@###### just beat the pussy up
2319,1586,B,R19,0,1,@###### just beat the pussy up
2605,1186,B,R5,0,0,@###### the only thing better than a bargain is a Yankee bargain.
2605,1195,B,R5,0,0,@###### the only thing better than a bargain is a Yankee bargain.
2605,1211,B,R5,0,0,@###### the only thing better than a bargain is a Yankee bargain.
752,55,B,R2,1,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
752,79,B,R2,1,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
752,160,B,R2,1,0,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
778,55,B,R28,1,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
778,79,B,R28,1,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
778,160,B,R28,1,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
1894,1199,B,R44,0,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
1894,1241,B,R44,0,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
