tweet.id,id,version,batch.tweet,hate.speech,offensive.language,tweet_hashed
2883,1015,D,R33,1,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1105,D,R33,0,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1349,D,R33,1,0,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1372,D,R33,1,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
149,20,D,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,73,D,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,128,D,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
556,315,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,319,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,761,D,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,824,D,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,843,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,853,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,860,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,871,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,872,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,875,D,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,879,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,885,D,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,904,D,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,912,D,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,921,D,R6,1,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
350,26,D,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,30,D,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,109,D,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,137,D,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
2050,1067,D,R50,1,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1163,D,R50,0,0,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1339,D,R50,0,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
1785,1334,D,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1350,D,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1358,D,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1360,D,R35,0,0,Thou shall not mock Ryan(the future)Kelly
302,26,D,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,30,D,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,109,D,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,137,D,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
433,11,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,53,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,785,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,828,D,R33,0,0,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,844,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,849,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,850,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,859,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,862,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,865,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,866,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,882,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,890,D,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,896,D,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,922,D,R33,0,0,hell would freeze over before I ever let any bitch kick me in the fuckin face
1696,1070,D,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1618,D,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1640,D,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1660,D,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1668,D,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
2132,1367,D,R32,0,0,@###### bird hats &gt; every other hat
2132,1650,D,R32,0,0,@###### bird hats &gt; every other hat
2132,1698,D,R32,0,0,@###### bird hats &gt; every other hat
2132,1705,D,R32,0,0,@###### bird hats &gt; every other hat
2132,1708,D,R32,0,0,@###### bird hats &gt; every other hat
466,67,D,R16,1,1,@###### come draw and paint with me niggah!
466,135,D,R16,0,0,@###### come draw and paint with me niggah!
466,318,D,R16,1,1,@###### come draw and paint with me niggah!
1514,1118,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1132,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1616,D,R14,1,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1634,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1653,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1670,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1674,D,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
2889,1015,D,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2889,1105,D,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2889,1349,D,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2889,1372,D,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2561,1368,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1620,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1626,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1658,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1662,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1681,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1684,D,R11,0,0,@###### I'm guessing so. The players are talking trash.
511,316,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
511,778,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
511,832,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
511,833,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
511,845,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
511,901,D,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
2077,1125,D,R27,0,1,@###### thank you based pee slit
2077,1128,D,R27,0,1,@###### thank you based pee slit
2077,1376,D,R27,0,1,@###### thank you based pee slit
1897,1052,D,R47,0,0,"In a movie, everybody ain't the star... Need Co stars and extras... &#171;@###### I hate hoes that take pride in being the other chick&#187;"
1897,1098,D,R47,0,0,"In a movie, everybody ain't the star... Need Co stars and extras... &#171;@###### I hate hoes that take pride in being the other chick&#187;"
1897,1631,D,R47,0,0,"In a movie, everybody ain't the star... Need Co stars and extras... &#171;@###### I hate hoes that take pride in being the other chick&#187;"
1897,1652,D,R47,0,0,"In a movie, everybody ain't the star... Need Co stars and extras... &#171;@###### I hate hoes that take pride in being the other chick&#187;"
1897,1697,D,R47,0,0,"In a movie, everybody ain't the star... Need Co stars and extras... &#171;@###### I hate hoes that take pride in being the other chick&#187;"
