tweet.id,id,version,batch.tweet,hate.speech,offensive.language,tweet_hashed
2883,1304,A,R33,0,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1539,A,R33,0,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1737,A,R33,0,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
149,282,A,R49,0,1,RT @###### Bron pregame speeches be so trash though lmao
149,296,A,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,927,A,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,929,A,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,936,A,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
556,69,A,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,80,A,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,291,A,R6,1,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,308,A,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
350,40,A,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,101,A,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,278,A,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,295,A,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,304,A,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
2050,1314,A,R50,0,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1519,A,R50,1,0,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1740,A,R50,0,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
1785,954,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1801,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1866,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1872,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1874,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1877,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1880,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1884,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1889,A,R35,0,0,Thou shall not mock Ryan(the future)Kelly
302,40,A,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,101,A,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,278,A,R2,0,1,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,295,A,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,304,A,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
433,33,A,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,270,A,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,289,A,R33,1,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
1696,1303,A,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1319,A,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1328,A,R46,1,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
2132,965,A,R32,0,0,@###### bird hats &gt; every other hat
2132,1293,A,R32,0,0,@###### bird hats &gt; every other hat
2132,1331,A,R32,0,0,@###### bird hats &gt; every other hat
466,56,A,R16,1,0,@###### come draw and paint with me niggah!
466,130,A,R16,0,1,@###### come draw and paint with me niggah!
466,268,A,R16,1,0,@###### come draw and paint with me niggah!
1514,1283,A,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1287,A,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1803,A,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1804,A,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1810,A,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
