tweet.id,id,version,batch.tweet,hate.speech,offensive.language,tweet_hashed
2883,1062,C,R33,0,0,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1396,C,R33,0,0,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
2883,1718,C,R33,0,1,RT @###### this dumb bitch said....RT @###### No matter what a man says the only way he'll truly respect you is if u hold out sex
149,117,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,368,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,403,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,424,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,430,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,491,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,529,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,569,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,577,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,607,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,631,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,677,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,700,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,729,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,769,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,787,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
149,791,C,R49,0,0,RT @###### Bron pregame speeches be so trash though lmao
556,298,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,300,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,358,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,361,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,372,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,406,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,416,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,451,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,468,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,472,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,485,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,494,C,R6,0,0,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,566,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,642,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,655,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,668,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,712,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,743,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,745,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,755,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
556,803,C,R6,0,1,@###### No matter how much you bitch and complain... America is in better shape to how Obama found it PERIOD
350,104,C,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,161,C,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,273,C,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,290,C,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
350,297,C,R50,0,0,RT @###### if you're gonna trash talk my piercings don't say it in front of my best friends &#128514;&#128514;&#128514;&#128514;
2050,1033,C,R50,0,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1041,C,R50,1,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1821,C,R50,1,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
2050,1825,C,R50,0,1,RT @###### @###### nigguh waldo had chipotle waiting for him at his house lucky soab lol
1785,1083,C,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1099,C,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1276,C,R35,0,0,Thou shall not mock Ryan(the future)Kelly
1785,1280,C,R35,0,0,Thou shall not mock Ryan(the future)Kelly
302,104,C,R2,0,1,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,161,C,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,273,C,R2,0,1,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,290,C,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
302,297,C,R2,0,0,RT @###### @###### @###### @###### @###### @###### So glad Charlie agrees with Carol and CNN that assaulting girls is OK&#8230;
433,121,C,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,131,C,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
433,134,C,R33,0,1,hell would freeze over before I ever let any bitch kick me in the fuckin face
1696,1289,C,R46,0,1,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1400,C,R46,1,1,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1412,C,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1421,C,R46,0,0,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
1696,1439,C,R46,1,1,Lmao RT @###### The in soles in Reebok Classics can't even handle the diabetic weight Rick Ross holds
2132,1112,C,R32,0,0,@###### bird hats &gt; every other hat
2132,1278,C,R32,0,0,@###### bird hats &gt; every other hat
2132,1417,C,R32,0,1,@###### bird hats &gt; every other hat
2132,1436,C,R32,0,0,@###### bird hats &gt; every other hat
466,37,C,R16,0,1,@###### come draw and paint with me niggah!
466,320,C,R16,1,1,@###### come draw and paint with me niggah!
466,341,C,R16,1,1,@###### come draw and paint with me niggah!
466,362,C,R16,0,1,@###### come draw and paint with me niggah!
466,378,C,R16,1,1,@###### come draw and paint with me niggah!
466,384,C,R16,0,1,@###### come draw and paint with me niggah!
466,397,C,R16,0,1,@###### come draw and paint with me niggah!
466,443,C,R16,1,1,@###### come draw and paint with me niggah!
466,447,C,R16,0,1,@###### come draw and paint with me niggah!
466,455,C,R16,0,0,@###### come draw and paint with me niggah!
466,457,C,R16,0,1,@###### come draw and paint with me niggah!
466,476,C,R16,1,1,@###### come draw and paint with me niggah!
466,493,C,R16,1,1,@###### come draw and paint with me niggah!
466,518,C,R16,0,1,@###### come draw and paint with me niggah!
466,522,C,R16,0,1,@###### come draw and paint with me niggah!
466,525,C,R16,0,1,@###### come draw and paint with me niggah!
466,533,C,R16,1,0,@###### come draw and paint with me niggah!
466,564,C,R16,0,1,@###### come draw and paint with me niggah!
466,583,C,R16,0,1,@###### come draw and paint with me niggah!
466,608,C,R16,0,1,@###### come draw and paint with me niggah!
466,633,C,R16,1,0,@###### come draw and paint with me niggah!
466,644,C,R16,1,0,@###### come draw and paint with me niggah!
466,654,C,R16,0,0,@###### come draw and paint with me niggah!
466,679,C,R16,1,1,@###### come draw and paint with me niggah!
466,742,C,R16,1,1,@###### come draw and paint with me niggah!
466,774,C,R16,0,0,@###### come draw and paint with me niggah!
466,801,C,R16,0,1,@###### come draw and paint with me niggah!
466,811,C,R16,0,0,@###### come draw and paint with me niggah!
1514,1110,C,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1168,C,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1285,C,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
1514,1527,C,R14,0,0,"RT @###### Yeah start me as your flex player next week. Trick plays, catching passes, flipping the bird, smashing asses, should al&#8230;"
2889,1062,C,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2889,1396,C,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2889,1718,C,R39,0,0,"RT @###### A quick lesson on the birds and the bees: The birds are looming, oily, sudden. The bees are bulbous, shrieking, hungry.&#8230;"
2561,994,C,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1019,C,R11,0,0,@###### I'm guessing so. The players are talking trash.
2561,1066,C,R11,0,0,@###### I'm guessing so. The players are talking trash.
511,111,C,R11,0,0,"@###### On that 4th down incompletion, both the slants looked like better options. Shame, but there&#8217;s a youth &amp; lack of trust going on."
