,offensive.language,tweet_hashed
0,1,"Subtweeting little bitch ""taking the high road"""
1,1,"Subtweeting little bitch ""taking the high road"""
2,1,"Subtweeting little bitch ""taking the high road"""
3,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
4,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
5,0,Man I'm tryin to take my intoxication to Charlie Sheen levels today and I'm going to do just that
6,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
7,1,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
8,0,The day my ex told me she was sober when she cheated on me is the same day I eliminated colored skinny jeans from my wardrobe
9,1,Stu a rape faced faggot man I'm sick of this nigga
10,1,Stu a rape faced faggot man I'm sick of this nigga
11,1,Stu a rape faced faggot man I'm sick of this nigga
12,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
13,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
14,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!
15,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
16,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
17,1,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;"
18,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
19,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
20,0,"@###### @###### @###### btw, genocide isn't war. The people of Gaza are no more combatants than the people of the Warsaw ghetto."
21,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
22,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
23,1,"""@###### Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
24,1,@###### just beat the pussy up
25,1,@###### just beat the pussy up
26,1,@###### just beat the pussy up
27,0,@###### the only thing better than a bargain is a Yankee bargain.
28,0,@###### the only thing better than a bargain is a Yankee bargain.
29,0,@###### the only thing better than a bargain is a Yankee bargain.
30,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
31,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
32,1,"In my opinion LHHA is a spot on description of how some of Atlanta is. Dumb hoes and niggas, ratchet broads, and stupid arguments."
33,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
34,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
35,1,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch
36,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
37,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
38,1,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;
39,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
40,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
41,1,@###### @###### your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
42,1,@###### ratchet white trash
43,0,@###### ratchet white trash
44,1,@###### ratchet white trash
45,1,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
46,1,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
47,0,&#128553;&#128557; RT @###### My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
48,0,"@###### God awful, and that dude is Dorian / eggplant black."
49,0,"@###### God awful, and that dude is Dorian / eggplant black."
50,0,"@###### God awful, and that dude is Dorian / eggplant black."
51,1,WTF I'mma do about my legs Charlie Murphy...
52,0,WTF I'mma do about my legs Charlie Murphy...
53,1,WTF I'mma do about my legs Charlie Murphy...
54,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
55,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
56,1,RT @###### @###### California's biggest retards. Don't forget about HOLY who just released an amazing EP.
57,1,The word bitch don't apply to all women but all women got a little bitch in em
58,1,The word bitch don't apply to all women but all women got a little bitch in em
59,1,The word bitch don't apply to all women but all women got a little bitch in em
60,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
61,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
62,0,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy."
63,0,Fitzpatrick is trash bruh
64,1,Fitzpatrick is trash bruh
65,0,Fitzpatrick is trash bruh
66,0,Their salsa negro is awesome... @###### @######
67,0,Their salsa negro is awesome... @###### @######
68,0,Their salsa negro is awesome... @###### @######
69,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
70,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
71,1,RT @###### &#8220;@###### @###### finished the essay and the quiz bitch&#8221;good job bud proud of you
72,1,Happy bday @###### I love you my nigguh #livingLegend
73,1,Happy bday @###### I love you my nigguh #livingLegend
74,1,Happy bday @###### I love you my nigguh #livingLegend
75,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
76,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
77,0,"&#8220;@###### I be laughing when my ex be tryna stunt, bitch you forgot I went with you I know what you got &amp; don't got &#128514;&#128514;&#8221;"
78,1,this guy is the biggest faggot omfg
79,1,this guy is the biggest faggot omfg
80,1,this guy is the biggest faggot omfg
81,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
82,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
83,1,All it take is for one bitch to open her mouth and niggas start fuckin up.
84,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
85,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
86,0,"I'm too nice to people , but when I finally decide to say something , I'm a bitch . wonderful ."
87,0,"Disturbing: feeling pressure from #ISIS fanboys, Al Qaeda fanboys resort to celebrating 9/11 to reclaim their Jihadi bona fides"
88,0,"Disturbing: feeling pressure from #ISIS fanboys, Al Qaeda fanboys resort to celebrating 9/11 to reclaim their Jihadi bona fides"
89,0,"Disturbing: feeling pressure from #ISIS fanboys, Al Qaeda fanboys resort to celebrating 9/11 to reclaim their Jihadi bona fides"
90,1,That nigga talkin like a hoe Tell that bitch nigga speak up
91,1,That nigga talkin like a hoe Tell that bitch nigga speak up
92,1,That nigga talkin like a hoe Tell that bitch nigga speak up
93,1,"RT @###### You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out."
94,1,"RT @###### You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out."
95,1,"RT @###### You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out."
96,0,RT @###### @###### you're secretly a Yankee fan! You'll admit it some day !
97,0,RT @###### @###### you're secretly a Yankee fan! You'll admit it some day !
98,1,RT @###### @###### you're secretly a Yankee fan! You'll admit it some day !
99,1,RT @###### Yo BCU band made UCF band look like trash
100,0,RT @###### Yo BCU band made UCF band look like trash
101,0,RT @###### Yo BCU band made UCF band look like trash
102,1,My neighbors be sick when i wake um up to all this nigger music ctfu
103,1,My neighbors be sick when i wake um up to all this nigger music ctfu
104,1,My neighbors be sick when i wake um up to all this nigger music ctfu
105,1,RT @###### you hang out with a hoe you gonna turn into a hoe
106,1,RT @###### you hang out with a hoe you gonna turn into a hoe
107,0,RT @###### you hang out with a hoe you gonna turn into a hoe
108,0,@###### lol then they have one more flavor I think it's yellow idk.. But yea there bomb.
109,0,@###### lol then they have one more flavor I think it's yellow idk.. But yea there bomb.
110,0,@###### lol then they have one more flavor I think it's yellow idk.. But yea there bomb.
111,1,"What these bitches want from a nigga?, like on some DMX shit"
112,1,"What these bitches want from a nigga?, like on some DMX shit"
113,1,"What these bitches want from a nigga?, like on some DMX shit"
114,0,I'll give you a baby zebra girl.
